x__,X__,Y__,x___1,x____,x_____1,x_____,amplitude_1,phase_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1100,4758.264151,196.6889559,0.170493945,1.571311939,-8.79087247247152e-05+0.170493922335451i,5.21E-05,0.579602309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1100,3890.470842,15.3931712,0.2737247,5.608772401,0.213799161627341-0.17092434011066i,6.20E-05,-0.146519036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1900,2937.862892,10.64435907,0.2585594,1.411376039,0.0410452376243548+0.2552807316981i,0.000155291,0.3724443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1700,222.5400962,128.3037313,0.208220131,3.3435177,-0.203989579620494-0.0417597205058813i,3.04E-05,1.83963421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1600,4074.615989,348.6472815,1,2.082592844,-0.489744358846481+0.871866080873691i,0.000830882,1.232945261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1600,1148.699444,196.1660779,0.20486242,2.140823571,-0.110555026458872+0.172470859340727i,4.36E-05,2.933992206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,4459.301119,41.14842237,0.209914745,0.201723461,0.20565824604965+0.0420581281500234i,6.77E-05,-1.776529756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1800,346.124219,285.2859831,0.286219768,0.840714941,0.190888630003649+0.213268109794116i,5.76E-05,-3.025204647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1600,82.95900852,82.60611223,0.118341208,0.505100029,0.103563476722805+0.0572647164032864i,2.61E-06,1.115403643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,911.7905371,192.8847406,0.240980323,1.646108223,-0.0181315337009902+0.240297239549516i,2.06E-05,-0.750647093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1700,1715.45584,76.9144865,0.176032318,3.171079724,-0.175955795052724-0.0051899252116614i,3.24E-05,0.263065373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
